gender,loan_type,loan_purpose,credit_worthiness,loan_amount,term,property_value,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,ltv,region,status,dtir1
Male,type1,p1,l1,406500,360.0,508000.0,pr,home,1U,9480.0,EXP,834,CIB,35-44,80.01968504,south,0,46.0
Male,type1,p4,l1,456500,360.0,658000.0,pr,home,1U,11880.0,EXP,587,CIB,45-54,69.3768997,North,0,42.0
Joint,type1,p1,l1,696500,360.0,758000.0,pr,home,1U,10440.0,CRIF,602,EXP,25-34,91.88654354,North,0,39.0
Joint,type1,p1,l1,706500,360.0,1008000.0,pr,home,1U,10080.0,EXP,864,EXP,35-44,70.08928571,North,0,40.0
Joint,type1,p3,l1,346500,360.0,438000.0,pr,home,1U,5040.0,EXP,860,EXP,55-64,79.10958904,North,0,44.0
Female,type1,p4,l1,266500,360.0,308000.0,pr,home,1U,3780.0,CIB,863,CIB,55-64,86.52597403,North,0,42.0
Joint,type1,p3,l1,376500,360.0,478000.0,pr,home,1U,5580.0,CIB,580,EXP,55-64,78.76569038,central,0,44.0
Sex Not Available,type3,p3,l1,436500,360.0,688000.0,pr,home,1U,6720.0,CIB,788,EXP,55-64,63.44476744,south,0,30.0
Sex Not Available,type1,p3,l1,466500,360.0,708000.0,pr,home,1U,9540.0,EXP,501,EXP,35-44,65.88983051,south,0,36.0
Joint,type2,p4,l1,436500,360.0,508000.0,pr,home,1U,5760.0,CRIF,520,EXP,55-64,85.92519685,North,0,39.0
Female,type1,p4,l1,226500,360.0,298000.0,pr,home,1U,7860.0,CIB,773,CIB,35-44,76.00671141,North,0,39.0
Female,type1,p1,l1,406500,360.0,598000.0,pr,home,1U,5340.0,CIB,629,CIB,45-54,67.97658863,North,0,44.0
Sex Not Available,type1,p4,l1,586500,360.0,748000.0,sr,home,1U,12540.0,CIB,688,EXP,55-64,78.40909091,south,0,31.0
Female,type1,p3,l1,136500,360.0,198000.0,pr,home,1U,2100.0,EXP,758,CIB,>74,68.93939394,North,0,36.0
Female,type1,p3,l1,316500,360.0,508000.0,pr,home,1U,2760.0,CIB,620,CIB,65-74,62.30314961,south,0,44.0
Male,type1,p3,l2,336500,360.0,428000.0,pr,home,1U,4980.0,CIB,846,CIB,35-44,78.62149533,south,0,35.0
Joint,type1,p3,l1,426500,360.0,568000.0,pr,home,1U,8940.0,EXP,533,EXP,45-54,75.08802817,North,0,34.0
Sex Not Available,type1,p4,l1,196500,360.0,258000.0,pr,home,1U,3840.0,EXP,812,EXP,25-34,76.1627907,south,0,49.0
Female,type1,p1,l1,186500,360.0,218000.0,pr,home,1U,3840.0,CRIF,534,CIB,55-64,85.55045872,central,0,46.0
Female,type1,p1,l1,436500,360.0,468000.0,pr,home,1U,4920.0,CIB,647,EXP,35-44,93.26923077,south,0,42.0
Male,type2,p1,l1,246500,360.0,258000.0,pr,home,1U,5400.0,EXP,683,CIB,25-34,95.54263566,North,0,39.0
Male,type3,p4,l1,216500,360.0,228000.0,pr,home,1U,5760.0,CIB,705,CIB,55-64,94.95614035,North,0,39.0
Male,type1,p1,l1,306500,360.0,318000.0,pr,home,1U,5580.0,EXP,701,CIB,35-44,96.3836478,North,0,37.0
Male,type1,p1,l1,316500,360.0,338000.0,pr,home,1U,3720.0,EXP,591,CIB,45-54,93.63905325,North,0,41.0
Male,type1,p1,l1,506500,360.0,538000.0,pr,home,1U,7500.0,CIB,647,CIB,25-34,94.14498141,North,0,36.0
Female,type1,p3,l1,266500,360.0,408000.0,pr,home,1U,3540.0,EXP,889,CIB,45-54,65.31862745,south,0,40.0
Male,type1,p1,l1,406500,360.0,1018000.0,ir,home,1U,9180.0,EXP,651,CIB,55-64,39.93123772,south,0,38.0
Male,type1,p3,l1,396500,360.0,528000.0,pr,home,1U,9060.0,EXP,766,CIB,35-44,75.09469697,south,0,30.0
Female,type2,p3,l1,166500,360.0,198000.0,pr,home,1U,3480.0,CIB,868,CIB,35-44,84.09090909,central,0,56.0
Joint,type1,p4,l1,416500,360.0,528000.0,pr,home,1U,7380.0,CRIF,886,EXP,45-54,78.88257576,North,0,39.0
Sex Not Available,type2,p3,l1,436500,360.0,508000.0,pr,home,1U,4920.0,CRIF,772,EXP,55-64,85.92519685,south,0,38.0
Joint,type1,p3,l1,356500,360.0,608000.0,pr,home,1U,3720.0,CRIF,640,EXP,55-64,58.63486842,North,0,49.0
Male,type3,p4,l1,386500,360.0,428000.0,pr,home,1U,5760.0,CIB,798,CIB,45-54,90.30373832,south,0,39.0
Female,type1,p1,l1,596500,360.0,668000.0,pr,home,1U,6780.0,CRIF,858,EXP,25-34,89.29640719,North,0,39.0
Male,type1,p4,l1,376500,360.0,718000.0,pr,home,1U,7080.0,EXP,567,CIB,65-74,52.43732591,North,0,20.0
Male,type2,p1,l1,286500,360.0,298000.0,pr,home,1U,4800.0,CIB,632,CIB,35-44,96.1409396,North,0,31.0
Joint,type1,p4,l1,706500,360.0,888000.0,pr,home,1U,8520.0,CIB,818,EXP,35-44,79.56081081,south,0,40.0
Sex Not Available,type2,p4,l1,146500,360.0,148000.0,pr,home,1U,2760.0,EXP,584,CIB,<25,98.98648649,south,0,55.0
Male,type1,p4,l1,286500,360.0,608000.0,pr,home,1U,5820.0,EXP,808,CIB,55-64,47.12171053,south,0,22.0
Female,type2,p3,l1,226500,360.0,258000.0,pr,home,1U,3720.0,CRIF,820,CIB,25-34,87.79069767,North,0,40.0
Sex Not Available,type1,p3,l1,156500,360.0,208000.0,pr,home,1U,3300.0,CRIF,783,EXP,>74,75.24038462,south,0,30.0
Male,type1,p1,l2,706500,360.0,748000.0,pr,home,1U,8400.0,EXP,663,CIB,35-44,94.45187166,south,0,46.0
Male,type3,p1,l1,166500,360.0,168000.0,pr,home,1U,2040.0,CRIF,739,CIB,65-74,99.10714286,North,0,52.0
Joint,type1,p1,l1,406500,360.0,428000.0,pr,home,1U,10740.0,EXP,571,EXP,45-54,94.97663551,central,0,44.0
Joint,type1,p1,l1,306500,360.0,408000.0,ir,home,1U,12600.0,CRIF,793,EXP,35-44,75.12254902,North,0,30.0
Female,type2,p1,l1,216500,360.0,218000.0,pr,home,1U,2580.0,CIB,673,EXP,55-64,99.31192661,central,0,49.0
Male,type1,p4,l1,466500,360.0,658000.0,pr,home,1U,8700.0,CIB,834,CIB,55-64,70.89665653,North,0,33.0
Sex Not Available,type3,p4,l1,246500,360.0,358000.0,pr,home,1U,5760.0,EXP,511,EXP,35-44,68.8547486,south,0,39.0
Sex Not Available,type1,p4,l1,486500,360.0,578000.0,sr,home,1U,9840.0,EXP,774,CIB,65-74,84.16955017,south,0,44.0
Male,type3,p1,l1,586500,360.0,588000.0,pr,home,1U,7140.0,EXP,732,CIB,35-44,99.74489796,south,0,49.0
Female,type1,p1,l1,416500,360.0,498000.0,pr,home,1U,3840.0,CIB,639,CIB,25-34,83.63453815,North,0,47.0
Male,type1,p1,l1,186500,360.0,348000.0,pr,home,1U,2880.0,EXP,506,CIB,55-64,53.59195402,North,0,46.0
Male,type2,p1,l1,316500,360.0,318000.0,pr,home,1U,7680.0,EXP,670,CIB,45-54,99.52830189,North,0,32.0
Joint,type1,p4,l1,386500,360.0,558000.0,pr,home,1U,5520.0,CIB,560,EXP,45-54,69.26523297,south,0,38.0
Female,type1,p4,l1,246500,360.0,288000.0,pr,home,1U,4920.0,CRIF,717,CIB,55-64,85.59027778,North,0,36.0
Male,type3,p4,l1,416500,360.0,508000.0,pr,home,1U,5760.0,EXP,668,CIB,45-54,81.98818898,central,0,39.0
Joint,type1,p4,l1,146500,360.0,208000.0,pr,home,1U,8160.0,EXP,640,EXP,45-54,70.43269231,North,0,42.0
Female,type1,p1,l1,246500,360.0,318000.0,pr,home,1U,3240.0,EXP,883,CIB,25-34,77.51572327,North,0,40.0
Sex Not Available,type3,p3,l1,316500,360.0,388000.0,pr,home,1U,3300.0,CIB,503,EXP,65-74,81.57216495,south,0,53.0
Joint,type1,p1,l1,296500,360.0,318000.0,pr,home,1U,3840.0,CRIF,887,EXP,45-54,93.23899371,North,0,46.0
Male,type3,p4,l1,436500,360.0,558000.0,pr,home,1U,5760.0,CRIF,604,EXP,65-74,78.22580645,North,0,39.0
Joint,type3,p4,l1,506500,360.0,578000.0,pr,home,1U,5760.0,CRIF,648,EXP,35-44,87.62975779,central,0,39.0
Sex Not Available,type1,p4,l1,386500,360.0,598000.0,pr,home,1U,5820.0,EXP,806,CIB,25-34,64.63210702,south,0,38.0
Joint,type1,p1,l1,496500,360.0,588000.0,pr,home,1U,8280.0,CIB,729,EXP,35-44,84.43877551,south,0,40.0
Female,type2,p1,l1,126500,360.0,138000.0,pr,home,1U,2220.0,CIB,629,CIB,65-74,91.66666667,North,0,55.0
Sex Not Available,type1,p4,l1,376500,360.0,608000.0,pr,home,1U,4680.0,CIB,755,CIB,35-44,61.92434211,south,0,41.0
Joint,type1,p4,l1,296500,360.0,438000.0,pr,home,1U,4140.0,CRIF,670,EXP,65-74,67.69406393,North,0,44.0
Joint,type1,p1,l1,416500,360.0,858000.0,pr,home,1U,10020.0,CIB,578,EXP,35-44,48.54312354,south,0,24.0
Female,type1,p4,l2,476500,360.0,808000.0,pr,home,1U,9000.0,CIB,648,CIB,45-54,58.97277228,North,0,38.0
Female,type1,p3,l1,266500,360.0,568000.0,pr,home,1U,8580.0,CIB,777,EXP,55-64,46.91901408,North,0,39.0
Joint,type1,p1,l1,406500,360.0,458000.0,pr,home,1U,7080.0,EXP,765,EXP,35-44,88.75545852,North,0,36.0
Joint,type3,p1,l1,236500,360.0,238000.0,pr,home,1U,4920.0,CIB,667,EXP,65-74,99.3697479,central,0,36.0
Male,type1,p3,l1,156500,360.0,258000.0,pr,home,1U,3960.0,CIB,820,CIB,45-54,60.65891473,south,0,31.0
